playlist_id,track_ids
10024884,1425053 2327471 2985464 3406739 2384203 
10624787,1083593 3166806 2016284 3280856 3779369 
4891851,1406862 1371741 1886350 4610781 1920003 
4267369,2974829 3672321 3173703 482269 3128977 
65078,2225630 3779484 3341178 1210951 3138311 
10637124,2123901 2340644 414791 694849 2213753 
3223162,3802863 303587 2787106 281865 1368045 
7541503,2086779 2095959 3622054 661053 2889733 
6189367,1675280 1711336 2458643 3550931 196607 
8459943,1227691 2821222 2235035 205614 134800 
10138804,42805 1155458 1935201 4700754 1444202 
10562075,2371834 641627 2560279 2716058 3159807 
10184821,170797 2950401 2160484 106861 377629 
4189678,3261537 2829202 3711530 3158229 3121562 
6299524,1527961 1764420 354173 3207145 1550140 
8515028,3203856 691535 3066677 3711077 1412032 
10631638,1646238 3068522 2838124 561644 2931442 
10947423,3726795 3743698 1170541 2274205 1735832 
11295404,1038455 1898456 1616057 2148031 710682 
3884714,477433 143335 1712912 2756830 1827368 
10680851,495027 1563133 3349944 2493661 1030713 
3228268,936192 1896558 230918 904153 1265689 
7850055,933471 2191974 131052 2054685 1206974 
10864017,2522691 1756913 2547173 3410173 2384462 
5660760,574364 1452183 4700957 153251 1517584 
4157419,3256885 2557696 1846996 2288664 2651843 
3304833,1130644 2297555 2423405 1246232 2716734 
1911645,3872219 911131 644831 3075374 3633671 
4902536,1257230 3743576 2273905 2028674 3579068 
1140304,3533742 258655 3669444 2518645 1461025 
4310448,186788 1181285 992075 2942250 661656 
4874293,656259 435252 892567 2299537 1751699 
7541314,3844848 87269 3722906 3477473 1796316 
8910289,166355 2226095 1517235 648545 2367829 
11761351,3139062 1825991 3137686 2215655 904032 
6611489,2941119 2877394 1122222 3329294 3168725 
5431593,2999685 2498293 2481235 335101 2839271 
7772264,1604869 2866268 625811 619754 625939 
5615774,1445150 3026954 1644642 1039120 3186611 
7698427,506766 523394 1213380 791672 1914960 
5903309,223944 167771 535428 3195896 3851152 
10032246,2909275 853428 1942836 694860 1295184 
6718882,166563 3888448 2872954 3287171 852841 
1072577,2008442 461650 2988391 268373 2671442 
5047826,1089082 2900351 3389343 1885462 2561773 
5241540,1189239 3313055 2041031 2889645 434654 
11056046,1177937 1605486 1204822 3495135 2074185 
713681,3773049 3754522 680781 1691880 723871 
10350609,816082 1486319 2250810 1280493 259299 
