playlist_id,track_ids
7614,919422 52868 414802 1038512 1134236 
7692,914677 637471 620056 1111526 942103 
7816,295208 219947 844878 882358 816051 
8225,52868 919422 1067050 1038512 1134236 
8337,351023 1095145 1210388 1163981 820190 
8369,1117788 1272451 294275 1188600 1120789 
8446,926335 1110942 701196 684920 499468 
8559,409093 729556 258339 677168 448913 
8636,732967 712369 654629 180403 68383 
9344,892755 292025 1054349 94181 730778 
9444,406511 1088916 83152 583341 538393 
10050,568389 497775 395212 1174665 659989 
10732,1086519 425234 104517 1178003 232287 
11314,404146 296372 483622 410384 894456 
12268,1221743 416397 468841 191065 1104179 
13164,475512 1159272 335213 1165898 429189 
13957,1266386 1166833 265489 233696 719661 
14097,686327 156801 539179 1089101 110872 
14632,651907 821557 953105 887477 1155510 
14952,172604 715122 1043236 1021539 490930 
15069,135938 263778 813507 415670 1258752 
15761,719250 635936 1089510 201903 397783 
15791,938162 711371 19104 134880 1053234 
16022,283263 1034398 525795 547752 892709 
16226,445464 424556 726793 256445 1269292 
16923,1042390 73166 1044972 412216 1197126 
17129,603454 324969 797658 685299 1258008 
17136,285306 1015043 170620 1209724 1055863 
18357,198578 270451 163995 661062 1228480 
19159,1036680 1105624 482285 133413 23086 
20891,515278 53151 133869 52733 93220 
21071,918049 82104 538314 648581 135618 
21754,442845 1045148 180403 827952 1201100 
21877,134650 414758 509689 1132698 871546 
21974,871828 1070483 225517 860993 381811 
23305,886348 793292 504475 887603 1233149 
24088,88512 938470 1295531 817247 657666 
24559,1234098 294252 167932 424014 558873 
25084,195044 876558 22550 194560 572519 
26099,528784 862835 1187723 726094 686315 
26600,689324 1205908 480035 231855 1168184 
27279,933019 73066 910150 628726 488090 
28189,629327 488339 55020 271333 478178 
28279,1070381 1143267 1280140 883443 516412 
28747,509297 353155 1069085 836043 573039 
29654,134390 673223 1195541 243372 707478 
30913,655440 1035613 294862 1123543 285300 
33349,710073 1103968 185369 816714 1074461 
34111,1231152 579120 222109 346509 644412 
35043,87837 338604 671472 216987 1262030 
37720,876305 210954 676917 208154 289548 
38657,1146267 299816 862161 1207003 7559 
39453,632701 1132966 1256274 503818 497498 
39529,830224 307768 491136 1190131 148945 
39743,107380 1257888 65996 1250806 459255 
39944,43833 1225646 1072395 824737 663608 
41269,657696 689473 1206222 253286 858806 
42100,874974 1275183 199055 439696 284484 
42464,1266386 689154 191310 1166833 1071729 
43109,1175048 389921 1132922 1229546 1082898 
43179,904522 853683 515541 1155126 426230 
43404,1074803 135616 687616 478851 185653 
44880,190220 324121 509762 785459 732967 
45305,1299041 647869 1177600 727442 617389 
45369,1130328 1234032 496255 681007 232905 
