playlist_id,track_ids
10024884,2972914 2169950 3521362 2862472 1660078 
10624787,1323515 3508086 2972914 1035755 2244422 
4891851,2989724 2403860 2750239 1550729 1538988 
4267369,1605090 2750239 2169950 2256817 474864 
65078,2438345 1035755 1360712 2972914 1558356 
10637124,3034586 2972914 3521362 3056035 2721759 
3223162,2989724 2130539 2244422 1373492 2923256 
7541503,882374 1707413 3305034 2169517 583328 
6189367,1605090 2823949 2146584 2244422 1362023 
8459943,2438345 474864 2244422 2972914 1903709 
10138804,2146584 3508086 3521362 2989724 2244422 
10562075,2561768 2438345 3034586 1184201 3266139 
10184821,1323515 1903709 1360712 583328 1660078 
4189678,2543930 1362023 3034586 3508086 1523190 
6299524,2169517 1184201 2169950 474864 3521362 
8515028,2972914 3521362 1378455 1035755 1903709 
10631638,3719527 2618273 1360712 2543930 474864 
10947423,1999944 2561768 109749 2721759 1134966 
11295404,3305034 395949 583328 474864 2543930 
3884714,3508086 1538988 422388 2169950 2256817 
10680851,3361980 1492670 2060521 852629 2525237 
3228268,2989724 1660078 677100 1707413 2561768 
7850055,1558356 2972914 3719527 1378455 3387498 
10864017,1660078 1134966 2972914 580384 1184201 
5660760,2862472 3056035 2169517 2438345 1035755 
4157419,3266139 580384 47604 677100 1523190 
3304833,1558356 1660078 2721759 1550729 583328 
1911645,3034586 1360712 1999944 3508086 2083485 
4902536,677100 699524 1538988 2561768 3034586 
1140304,1378455 2169517 2721759 2750239 1550729 
4310448,1660078 1362023 3056035 3387498 2561768 
4874293,3266139 882374 2561768 1337203 1159000 
7541314,3056035 808769 1707413 580384 2750239 
8910289,1605090 474864 3718325 1373492 1229743 
11761351,1649766 2287323 1325626 113446 843938 
6611489,641542 2146584 3496427 2834303 204775 
5431593,699524 2862472 1035755 2244422 1378455 
7772264,1360712 583328 2862472 808769 580384 
5615774,641542 2146584 3496427 2834303 204775 
7698427,1360712 2750239 1373492 2244422 2169517 
5903309,1550729 808769 822749 1523190 2834303 
10032246,2823949 808769 1999944 1550729 2146496 
6718882,2972914 1550729 474864 3305034 3034586 
1072577,2862472 2561768 677100 1360712 808769 
5047826,1325626 3019696 1898597 2256817 822749 
5241540,2256817 2169517 2438345 1362023 1660078 
11056046,1323515 677100 2256817 699524 2972914 
713681,1362023 3034586 3056035 2618273 1045005 
10350609,2146584 1159000 1045005 2244422 422388 
7542080,2525237 2169517 1550729 2403860 1229743 
7127454,2972914 474864 1605090 1660078 3056035 
11192507,2561768 1660078 3521362 3056035 2438345 
11065937,242668 2543930 1035755 1706420 1229743 
4743330,1558356 1605090 3305034 2403860 2721759 
221395,2972914 1550729 3719527 3034586 2862472 
10985037,2256817 3034586 2543959 580384 1440701 
3755267,1045005 1035755 1360712 2169517 2972914 
7440845,47604 1523190 2721759 2244422 1707413 
8426989,1550729 1440701 3266139 2561768 2721759 
82847,1035755 3387498 2083485 1373492 3521362 
5963503,2403860 1035755 47604 474864 2169517 
7809227,1299801 1981007 3719527 1707413 2394660 
6544963,2750239 1184201 3387498 699524 47604 
10178374,1298815 2955150 3709740 2862472 2314533 
472200,1898597 47604 2543930 2976069 1605090 
10688607,2750239 3719527 1605090 3266139 1184201 
7541732,1378455 242668 3719527 1159000 1440701 
6751827,2972914 2618273 1325626 1035755 395949 
4192208,1323515 3056035 1373492 2438345 1550729 
8830133,1523190 2618273 1660078 1707413 3387498 
11635785,1362023 1373492 2438345 2244422 677100 
4526137,2403860 580384 1045005 1550729 2083485 
970740,583328 2438345 2721759 3508086 1184201 
5879343,3719527 3521362 808769 1373492 3034586 
5742191,677100 1323515 2989724 1362023 2862472 
10356493,1660078 3034586 3508086 2543930 2543959 
10061153,1558356 1898597 1378455 3056035 1184201 
7096673,3056035 474864 3719527 699524 2244422 
6890734,1707413 3719527 2169950 2543930 2083485 
4923978,2862472 1337203 1550729 583328 2256817 
3560810,2169950 1660078 1903709 2169517 677100 
6646811,1159000 395949 2256817 1649766 1898597 
3827542,1045005 3387498 1660078 2618273 1373492 
3745410,3387498 3718325 1440701 1362023 3287874 
3092546,1447233 843938 861444 2137439 3346157 
4160606,204775 395949 2834303 1045005 3034586 
7839970,2561768 808769 2721759 699524 1605090 
4904789,3266139 2256817 3387498 1373492 2989724 
7192530,2972914 47604 699524 1523190 3266139 
108413,47604 1707413 1045005 2438345 808769 
10470643,1903709 3521362 677100 2256817 474864 
6701679,2618273 1550729 3719527 1184201 1337203 
4472293,2256817 3268639 1440701 3305034 3266139 
1366641,1035755 2543930 1523190 2823949 1323515 
4107298,3719527 1159000 1605090 580384 822749 
8942905,242668 3718325 2060521 1843188 474864 
7947658,641542 2146584 3496427 2834303 204775 
8154951,242668 3019696 113446 1550729 2146584 
816773,2989724 641542 1045005 2146584 3508086 
1322559,2972914 822749 2823949 2244422 1492670 
3706908,3442569 2083485 2169950 3763749 2543959 
3874174,2971792 2146496 1843188 474864 3287874 
4059069,2169517 3521362 2244422 2862472 1362023 
11513495,2169950 1323515 2561768 808769 1523190 
3986647,1035755 2855760 204775 47604 1707413 
8764313,2972914 2244422 3719527 1903709 3266139 
2971209,3212352 2862472 438475 3305034 1440701 
6014433,3719527 2989724 3521362 2862472 1362023 
5595040,699524 1184201 1558356 2823949 1898597 
8603774,1360712 1558356 2256817 1184201 1373492 
7873897,2862472 2146584 583328 47604 3719527 
2432287,474864 47604 3719527 1337203 580384 
5233602,1558356 2750239 1818866 2060521 3144228 
8486347,808769 1523190 2244422 47604 474864 
4703236,1707413 1440701 699524 2169517 2721759 
4597972,2244422 583328 1323515 3521362 1538988 
4242707,1045005 1337203 2244422 474864 1558356 
3126872,1550729 2438345 2862472 47604 2750239 
8150977,2972914 1360712 1538988 474864 3387498 
4671336,2256817 2862472 3719527 1337203 2146584 
10978418,2561768 808769 2989724 3521362 2750239 
5929816,2169950 1184201 3521362 2721759 699524 
7417487,2403860 699524 2244422 808769 3056035 
8591052,822749 2721759 2618273 1373492 641542 
5465206,1184201 2855760 1362023 2972914 1843188 
8304869,3056035 1605090 3212352 2976069 2855760 
4122340,2862472 3719527 1184201 2721759 2750239 
6447596,3387498 1550729 2618273 808769 1605090 
10836215,822749 1605090 1229743 2146584 1538988 
