playlist_id,track_ids
10024884,2730084 1174456 88403 1344333 2977146 
10624787,1154418 2746140 1045017 629144 1063418 
4891851,1406862 2089117 1371741 1809338 1886350 
4267369,569720 2919129 2575850 3214480 290643 
65078,164066 1111065 1438299 443309 2242611 
10637124,694849 4803705 583227 1755145 2607674 
3223162,1368045 1234253 303587 281865 2787106 
7541503,2214905 2792757 2944025 1772597 1228863 
6189367,1675280 1118542 1228863 2621119 3429274 
8459943,205614 2235035 2279551 338393 3066756 
10138804,3004728 1139169 1444202 3102164 1935536 
10562075,3231199 3474963 567903 2909202 972425 
10184821,3777248 1217213 106861 2950401 2596609 
4189678,956879 1111065 1438299 2442437 3284122 
6299524,3520079 1571528 3846663 2834332 3602665 
8515028,3203856 1444202 1935536 137945 1139169 
10631638,2496468 2931442 3647331 2838124 561644 
10947423,1170541 3743698 3726795 2133874 3006103 
11295404,3626529 1341708 1524689 2110595 2083830 
3884714,1596617 1527919 1935656 2683110 143335 
10680851,1563133 495027 3349944 1911261 878334 
3228268,404161 3230210 209196 1265689 2167571 
7850055,863441 2054685 1292335 4803705 131052 
10864017,2308055 506014 2805323 844543 3361580 
5660760,2763326 2308873 1928782 497003 681271 
4157419,1852291 3413323 1120425 2067448 355208 
3304833,2610618 1913894 1232803 3000474 858614 
1911645,3872219 1300825 911131 3000651 2009386 
4902536,3287416 2129573 3698327 2879930 1840902 
1140304,3533742 258655 3669444 2518645 1461025 
4310448,1747164 3007276 1046268 2471937 830174 
4874293,1179816 3075378 1751699 2316938 892567 
7541314,3291100 3523500 2667177 3737683 865051 
8910289,648545 2358386 661656 3794782 992075 
11761351,3493388 3783285 268524 1193299 346504 
6611489,3626362 824164 1474539 330859 274470 
5431593,722033 1710892 3295761 1088475 2981487 
7772264,2754228 470063 264241 3085352 1530472 
5615774,3626362 824164 1474539 330859 274470 
7698427,88454 1214849 2679918 259299 1486319 
5903309,3735801 414277 2379993 482126 2539056 
10032246,134422 1356579 853428 2174839 259363 
6718882,3724555 2422331 648387 2824933 1088972 
1072577,705815 3189307 646455 3147426 109213 
5047826,2839253 1893087 2863395 415624 3664167 
5241540,3669692 288039 646455 3147426 15136 
11056046,1375280 1204822 1600595 1177937 1605486 
713681,1577185 87336 3603202 3078145 1784052 
10350609,2236539 1486319 259299 2679918 2805584 
7542080,2314172 2820631 3526823 3006587 2312205 
7127454,2271077 3231669 2521312 2009575 2679840 
11192507,4661775 2255791 1185658 3140661 3360176 
