playlist_id,track_ids
7614,2989791 1604514 826687 1181147 732872 
7692,1064604 648063 1317106 1070526 3290069 
7816,2891825 205416 2273162 3606905 1945116 
8225,14400 1710206 1651439 1280737 361957 
8337,924023 2050472 1179816 2540172 2604262 
8369,3842207 1903689 592224 2478226 3251559 
8446,193185 941266 2878899 300694 2090020 
8559,2822941 2677718 2925439 597870 3752083 
8636,1951129 500755 3559163 3118873 1474984 
9344,2566606 1069836 3457846 2130117 877140 
9444,3341004 583447 1689144 1523088 258650 
10050,257718 2805437 1556074 1890841 1366440 
10732,406133 3532465 855028 3186827 177146 
11314,1145913 878417 429248 119329 1887460 
12268,3557465 2846240 1735293 1447575 3306805 
13164,164921 2963146 3463936 3362354 2898856 
13957,2618210 3144248 1732003 3431460 2159342 
14097,2916271 1588326 1066844 1932912 504475 
14632,3337352 2646188 2974829 2173666 2578940 
14952,1034419 767096 2422947 1425454 2845992 
15069,2204395 3032613 811122 3871109 2239301 
15761,806529 2674179 1584194 2457101 2319522 
15791,2919755 3750724 820573 940299 2165843 
16022,1081128 345508 432548 853397 1116422 
16226,1435844 512305 3821743 524951 1851217 
16923,3105232 857649 3130413 3843618 3441304 
17129,353395 3879005 3073264 1559386 3050192 
17136,1229590 1691052 1612004 160363 2214982 
18357,1108810 3801765 1433179 2455572 810000 
19159,3644016 3339040 3715581 3033490 1111698 
20891,2751985 3783593 1788059 2357328 1767667 
21071,3584825 2363848 1566316 2537076 513661 
21754,2141151 683515 2657279 1643852 853628 
21877,284320 74222 2216105 676167 3772578 
21974,2920046 361243 1868809 2492755 3218340 
23305,306786 2534480 1498584 2215617 2302904 
24088,2902501 867118 843744 2365380 2804348 
24559,2864735 3785720 85579 3161438 2534394 
25084,3067297 2285204 2110917 840796 3866410 
26099,1232549 1067495 2690949 1819013 1028595 
26600,3436058 3588703 3678524 2744409 1824246 
27279,1867126 3370650 3098998 690709 505715 
28189,1634949 270171 2720582 4571136 1433418 
28279,3454466 1954900 2836494 1293826 465149 
28747,14987 459143 1718545 814804 3732248 
