playlist_id,track_ids
10024884,2082392 1425053 3140646 3749918 3550139 
10624787,3051656 2697007 2958826 1569671 2746140 
4891851,3084931 2853521 841525 2607932 1670983 
4267369,1707603 1824320 1587149 583265 3142324 
65078,1659945 2304660 2913021 1389330 2985809 
10637124,2108379 3522394 4709805 1088972 2147951 
3223162,3542444 1067985 1234253 2109868 3302422 
7541503,2214905 1139120 1441211 3249383 73909 
6189367,3669771 272623 861804 2825397 3866162 
8459943,1197246 1362491 3569603 1621378 3156553 
10138804,1065291 2739998 3102164 137945 1444202 
10562075,3474963 3231199 972425 867369 1588954 
10184821,964433 1104101 2160484 377629 106861 
4189678,2442437 956879 2853150 3871987 443309 
6299524,1507353 1088537 3602665 2587675 3846663 
8515028,1065291 661804 84887 1810944 1690721 
10631638,2789662 172121 3194405 3161144 571599 
10947423,962912 1570952 2586478 2053567 2599863 
11295404,3626529 1232608 2010776 2754843 1549549 
3884714,3139288 2062308 682335 2129573 1942875 
10680851,2454843 2838916 2130409 42737 271678 
3228268,3763280 4398986 1216855 622276 3236133 
7850055,1824320 199162 3165488 1132420 21156 
10864017,2752955 3616837 506014 2308055 2805323 
5660760,567422 1155162 492226 2456148 634779 
4157419,3413323 1120425 3782999 2020208 1346067 
3304833,2158869 2774246 1944997 3051566 2422947 
1911645,2376017 634157 2860409 674950 2273823 
4902536,2196066 2316730 2410714 2789878 2683110 
1140304,3526800 3203885 1188202 1335882 1499107 
4310448,3236391 1348630 443369 2009575 284204 
4874293,2170311 1206210 1081408 2850091 1948917 
7541314,2372619 1532598 3291100 4877178 1480004 
8910289,3787178 3064946 2863952 2358386 2367829 
11761351,2800153 68405 1117745 3769279 3824161 
6611489,1378550 135930 1068533 908840 489457 
5431593,710665 47580 1081426 3295761 1611640 
7772264,1920328 1563214 1327233 1447884 1679328 
5615774,3783889 135930 1378550 1068533 2610593 
7698427,2185287 1088938 2471907 424004 675046 
5903309,3119288 344709 1189239 453359 2167507 
10032246,2953740 2373169 1356579 1338026 3465429 
6718882,1563052 3775376 911279 2952287 2207920 
1072577,3210463 3054584 3866162 705815 1258825 
5047826,879656 4695 727880 3845127 1613960 
5241540,1160158 1258825 3669692 195273 1112454 
11056046,1881444 1600595 1234097 457571 1177937 
713681,3603787 2318572 3603202 554032 1820641 
10350609,1156139 515541 2844027 3641160 2154491 
7542080,1832679 2820631 3509384 1803756 2312205 
7127454,2175067 2521312 2683131 341599 2967377 
11192507,3469154 1887793 3601887 2854238 1702782 
11065937,2330305 1403116 914721 2121348 3277698 
4743330,1789319 3205456 1944096 3873342 3333561 
221395,1852291 2302277 3242991 2236425 727682 
10985037,677466 119302 2879189 3477524 2174830 
3755267,2083565 3655574 3291169 2610271 2288608 
7440845,621364 856024 3102328 2581009 3782516 
8426989,210749 260212 42808 2260623 1787051 
82847,1338177 1254465 1885609 1691362 2592810 
5963503,4634180 3006587 1844195 3014433 3262994 
