playlist_id,track_ids
7614,1401050 
7692,2537327 2026885 
7816,932946 3565613 
8225,112767 2828149 2579225 1337610 2141167 
8337,1156143 2866519 3615514 
8369,3251559 
8446,1164246 3219124 230463 
8559,1289700 1127440 3769833 
8636,3012907 2773152 3235984 1505991 3669557 
9344,1364346 2788956 
9444,2277431 1363520 2912545 
10050,1709150 1896558 2365324 1969864 
10732,2062213 
11314,2789282 3760517 3341004 1391425 
12268,1814992 3492831 
13164,509203 1981786 
13957,2399755 
14097,1735385 1368225 212788 2875489 
14632,1071673 232220 
14952,4500 
15069,3790646 
15761,379754 
15791,2537612 2530282 
16022,3056934 2788426 2567250 2949623 
16226,
16923,1748999 
17129,557629 1764355 
17136,2794491 2456094 
18357,175310 1050385 2609171 2793557 
19159,3831416 720155 1652689 
20891,329539 219962 
21071,1856251 2134711 2947879 
21754,3669570 1321481 
21877,1344333 
21974,672412 2450172 16383 3057494 
23305,3876951 2766473 1580480 
24088,1321053 2296339 2840855 2153004 
24559,1349281 2288497 
25084,2740911 551406 357046 84086 2364156 
26099,2636825 
26600,2316821 2406450 1824433 1576744 2744409 
27279,2167507 946582 462347 
28189,3007549 2062243 1678184 384887 
28279,2926602 1764697 
28747,
29654,2493461 1059742 
30913,3876951 1321053 2214888 2454612 
33349,2958861 2543104 497986 3834472 3065019 
34111,3702084 
35043,1102888 2092100 
37720,627898 2740759 619726 19021 
38657,23086 2693632 2858553 1430862 
39453,2067955 
39529,3588773 3862221 3873293 
39743,82238 
39944,2139892 2458112 
41269,427678 2787866 2679688 2005630 
42100,2737599 1942275 3012771 
42464,
43109,
43179,2663753 147803 2020566 2294263 
43404,1632118 3066756 
44880,4462744 3647082 2629893 
45305,1871405 
45369,2659159 624167 
45962,2450172 731534 677106 3057494 2730916 
47075,3700906 
49457,1488456 289129 1421739 158823 
49552,682936 
50749,2866686 1716480 3034781 
51884,730221 
52770,2005630 
53201,3030417 3070164 
53329,3590399 1905779 
53494,1121299 2932409 
53716,3644194 3339362 2678427 
54203,1260604 3320612 3769741 2856996 
54519,
54559,
56286,3173703 
56379,3012907 3363185 1712959 
57288,1862620 3607659 
58156,4432895 2642757 2563737 
58199,2881448 160392 269344 
59501,3518204 1778983 2945140 
59782,3287413 1373077 
59844,3611723 731584 307071 3092997 
60790,1790459 3861322 2511556 
61051,522391 2214578 
61627,380426 
62002,
62133,2739725 2825228 2617887 
63512,1921663 2967270 681273 3770277 
63840,868728 
64458,2168389 4635439 2759766 
64742,3831416 2834126 720155 
64946,2337179 1384737 3755840 
65078,
65535,2432393 2586399 
67149,329493 1255651 558379 3682516 2421724 
67850,2825225 3335577 1996209 
68290,477570 2021101 2587720 
68356,1886505 
68491,1205292 3621084 2840867 1373077 
68680,2780020 
68692,394751 2368355 
69141,3076448 2513540 2690281 
70468,2909333 2740911 
70547,
70966,2273905 2543184 3579068 1213215 
71636,1887693 
72286,
72489,815637 
72826,1635087 
73620,1373873 1264406 3428057 3320612 1432469 
74942,3126457 814723 
75157,330800 3773655 
76557,
76983,3773655 374422 3000505 
77604,1950743 3858603 
78538,2965779 1531731 
79598,3706460 3361557 3316873 
82837,2124019 
82847,4824423 289298 
82848,833722 
82849,731584 2988806 1074812 
83866,2249254 3859845 3773655 
85451,3096050 1704993 726383 
85624,3875973 2931339 1887683 
88181,3302988 950449 
91566,2050609 2678749 
92044,1857171 1769046 3820799 
94534,1999561 
95067,2192203 2419222 
95221,412280 824107 2370176 
95397,2804048 
96538,2690296 
97534,1559073 179533 1893921 
97569,174028 1943034 1311435 3168292 2212281 
97736,1800759 3091259 
99608,3738260 700536 1713531 2999747 3801835 
100056,1885462 2208924 329493 3853840 558379 
100965,2478920 3319330 
101090,868892 2727019 
101564,254550 3291009 
