playlist_id,track_ids
7614,910157 3496602 1571798 2895247 340906 
7692,291018 2289975 3000651 695141 74457 
7816,2130167 1647081 3218721 3614307 1881140 
8225,3496602 1571798 2895247 340906 497835 
8337,2277952 2023847 3840526 3522321 2083376 
8369,194426 3335244 1717101 2752512 861093 
8446,1394353 2964491 1971457 1373881 3450073 
8559,1885800 3540119 934632 2440666 3532357 
8636,195775 1335625 2385968 671612 847836 
9344,2788858 4834565 2239489 2752153 2607886 
9444,2898858 1576393 2236295 1069197 574009 
10050,623218 347403 2391120 2836494 3875524 
10732,116616 2334598 3668902 3661740 1726567 
11314,897753 3875524 2897305 1863110 2474186 
12268,2130167 2897305 2474186 3312323 1935624 
13164,3387781 3129861 1069197 2855235 1139689 
13957,918118 2339664 3164067 3721253 2347933 
14097,3695027 193328 315461 3850474 2557668 
14632,2396548 1455561 205449 2295960 2988320 
14952,2548945 2556570 3000493 2289975 3000651 
15069,2236295 3173275 1695033 624095 1198111 
15761,2289975 199165 3804134 858614 2440666 
15791,1191105 641706 2289975 2547178 3205604 
16022,2463294 2104461 2597503 2022556 595174 
16226,2289975 858614 2611840 199165 1705500 
16923,3000651 1338002 1077228 540790 3561481 
17129,2110368 2390619 315461 193328 2547178 
17136,2886512 3443099 274717 2591505 1246600 
18357,391867 3319204 3688071 594025 2395028 
19159,21156 560513 89119 1991779 2325082 
20891,3668902 3351957 2478865 1829775 2360072 
21071,2289975 953385 2215716 409599 1528628 
21754,2440666 2612618 1470316 163124 1272096 
21877,1156863 1275330 908840 447573 2349029 
21974,1156863 3044644 2440666 232971 2677272 
23305,116616 3542492 934632 1394353 2951006 
24088,94656 1275330 641706 3007608 1950525 
24559,2440666 163124 3702593 1604924 1338002 
25084,3129861 2855235 1139689 3357404 2316820 
26099,1486674 910157 3496602 1571798 867800 
26600,219928 2903348 2396614 846328 2752416 
27279,291018 2812623 116616 840477 964434 
28189,194426 892114 2811451 3788978 14295 
28279,2440666 1335625 163124 2547178 1747845 
28747,438236 3087260 468841 287193 163124 
29654,3319130 220598 3440755 4834565 3842589 
30913,1885800 934632 3346880 1948871 1447277 
33349,2746359 1254164 468841 2368369 82490 
34111,1549308 3358106 2844021 3044644 531232 
35043,3044644 1950525 1344318 199165 3389853 
37720,2832266 3010333 3861704 1455846 4423529 
38657,1486674 3496602 1614662 1571798 910157 
39453,1123518 2425330 1616551 2680047 2804718 
39529,2805099 1486674 3554741 527020 951148 
39743,551977 2265393 94656 846446 1999740 
39944,2110368 623218 1561483 3140920 3704156 
41269,2110703 419026 2165092 1069197 1335625 
42100,440231 1156863 449210 2886496 934632 
42464,918118 2339664 3164067 2347933 1089515 
43109,2964491 1220579 3738053 1605476 291018 
43179,3462763 2799575 482032 573442 84859 
43404,2612618 74457 3250336 1978310 2824110 
44880,2612618 74457 2864638 1647081 3174428 
45305,2824110 695141 1971457 3432044 3160980 
45369,1697335 1534952 4912403 2556570 1935624 
45962,1470316 310751 2385968 3750030 2216180 
47075,3875972 221235 1621072 248387 2339664 
49457,195775 3508413 1689757 580804 2385968 
49552,964496 1747845 279737 2390619 258655 
