playlist_id,track_ids
10024884,1425053 2327471 2985464 3406739 3179099 
10624787,1083593 3166806 3280856 2016284 3779369 
4891851,1406862 1371741 1886350 4610781 1854954 
4267369,2974829 3128977 2173666 2199955 2552638 
65078,2225630 3779484 438319 3138311 1210951 
10637124,3471357 2191974 131052 694849 2054685 
3223162,1368045 2787106 303587 281865 2296339 
7541503,3622054 2095959 3414256 311963 564227 
6189367,1675280 2458643 1711336 3550931 1565695 
8459943,2235035 134800 205614 3343361 2247118 
10138804,137945 1935536 1444202 1139169 3102164 
10562075,641627 2560279 2371834 3159807 1260556 
10184821,106861 2950401 1217213 2160484 377629 
4189678,2612097 102783 3158229 3261537 3711530 
6299524,1527961 3602665 3037350 3207145 2738418 
8515028,3203856 3066677 691535 3451780 3711077 
10631638,2838124 2931442 2496468 3647331 561644 
10947423,1170541 3743698 3726795 2133874 1702828 
11295404,1232608 984426 3381388 3661790 1276839 
3884714,1050385 1846977 1227320 533644 2683110 
10680851,495027 1563133 3349944 2493661 1030713 
3228268,2365324 680666 623384 3173841 3040801 
7850055,1206974 1292335 583227 1127506 933471 
10864017,2610451 1463452 3349765 2305775 950578 
5660760,3540066 3803696 2305233 2003473 3436116 
4157419,345031 3256885 2557696 265555 2288664 
3304833,1130644 2423405 2297555 1246232 2716734 
1911645,3872219 911131 3075374 644831 3633671 
4902536,3704289 2316730 3578026 710597 2736165 
1140304,3533742 258655 3669444 2518645 1461025 
4310448,2995069 2978373 2010668 2827699 2472204 
4874293,892567 435252 656259 1751699 2850091 
7541314,3844848 3722906 87269 1804264 3754397 
8910289,2942250 1535606 2599820 2791785 186788 
11761351,3493388 395291 346504 2805481 2215655 
6611489,3626362 824164 1474539 330859 274470 
5431593,2498293 2607721 661380 1963853 1767589 
7772264,2866268 1604869 625811 625939 619754 
5615774,3626362 824164 1474539 330859 274470 
7698427,506766 791672 1213380 1914960 3493815 
5903309,3735801 2379993 414277 482126 2539056 
10032246,1942836 1268744 856893 2909275 2333132 
6718882,2872954 3888448 166563 3287171 1935274 
1072577,2008442 1326147 3559218 1364193 2251897 
5047826,1772930 850705 3778186 1885462 3764728 
5241540,1189239 3313055 2041031 113631 1349253 
11056046,1375280 1204822 1605486 1600595 1177937 
713681,3754522 3610115 723871 680781 2534771 
10350609,1644587 1486319 1280493 259299 661277 
7542080,1832679 1905454 3051901 315992 159945 
7127454,2137019 1134244 2898411 3326043 2737076 
11192507,2557661 2255791 2737673 904765 1311435 
11065937,3489170 3442458 1168709 2083500 307771 
4743330,3169704 2218642 1897414 2565783 3871478 
221395,297503 2406767 1293892 1290101 3846685 
10985037,3299676 443489 3330056 2249324 379774 
3755267,3731326 1227698 593531 3265843 3016521 
7440845,2308112 3129905 2504946 1269242 198563 
8426989,1948854 2783989 3191103 2263419 2993729 
82847,2926939 4824423 2712695 2440263 2505473 
5963503,1079451 4864222 271083 647742 2303972 
7809227,2216740 3682161 1403091 1262450 166796 
6544963,3090832 2695612 728907 1297529 1193578 
10178374,2194761 2116849 513821 2728719 1844123 
472200,2787326 1356069 3218340 243683 1707918 
10688607,858919 55022 1545405 2259637 1741948 
7541732,3304982 3070566 3506267 680279 3586754 
6751827,1807375 502305 2808145 448490 660853 
4192208,1202101 648128 638436 82542 1601680 
8830133,3570703 210510 2368369 2579621 1767784 
11635785,1082875 2285795 2335551 335100 2244459 
4526137,1972975 1295848 3726560 2793978 295198 
970740,2712377 1337031 3554741 429024 268373 
5879343,2730896 2608358 2789819 2434335 1729875 
5742191,265555 2651843 3256885 2288664 1846996 
10356493,3202537 522315 2560279 3080695 1269244 
10061153,1879900 2057815 1756002 1042548 920338 
7096673,1180300 1069404 2479079 1909721 2188169 
6890734,3077576 3590946 2137367 305907 2642801 
4923978,2456334 2924065 1517515 912194 3073147 
3560810,3863544 1363567 3735789 254368 1243149 
6646811,915407 2973297 2127080 1735747 357664 
3827542,412263 3236338 1673061 3056900 3261293 
3745410,2173297 709967 2818391 340909 550590 
3092546,3450620 3512367 132362 2466040 3218340 
4160606,189446 2012945 2765587 352341 142516 
7839970,1201075 2898858 1059244 195273 3554932 
4904789,1475218 1064541 4895132 498709 2247257 
7192530,2495836 2646188 615790 3607816 3182410 
108413,1224786 828903 381811 1232608 1663866 
10470643,3048925 1298775 397796 1082776 9569 
6701679,1364193 3559218 1326147 408580 3674437 
4472293,722033 2471907 3550081 1710892 3295761 
1366641,2828659 2078374 867323 3715343 2805494 
4107298,2484707 112184 2409930 1310789 2730916 
8942905,3290948 1265718 2683131 2816088 1291193 
7947658,3626362 824164 1474539 330859 274470 
8154951,3346647 2628153 462773 2443985 2252016 
816773,405885 1767784 1831668 2891021 3542344 
1322559,3470350 3381059 357728 3435419 1492176 
3706908,245683 1104026 2313914 1088972 2824933 
3874174,1739003 3772577 1324832 1929011 2303861 
4059069,135927 2189584 3382294 170846 1039316 
11513495,2236269 1655072 2967377 938442 394710 
3986647,1680324 48994 3725600 2591614 3450620 
8764313,303505 108968 1372604 1227304 2392316 
2971209,3823971 2652407 3428005 1803682 1343896 
6014433,2031982 2733476 3091685 2330218 1447277 
5595040,447573 1945890 1741372 2029605 1134194 
8603774,2289496 290849 2789016 1310075 2429067 
7873897,2881408 2278870 2232169 3295761 2643080 
2432287,3315454 2742323 3579512 1764855 1088463 
5233602,1887656 42805 3583017 3829453 2759947 
8486347,3550819 1607590 491008 3610115 680781 
4703236,2610852 245683 1742926 366965 2207654 
4597972,1525557 2010776 3240733 3687848 1905089 
4242707,2438351 1812227 1371728 3288987 2406450 
3126872,1935863 2791348 432708 3738477 2781973 
8150977,1388798 2606545 157831 3358631 3778650 
4671336,2294023 1157460 2610451 271686 2276032 
10978418,2186089 92162 1341039 1754625 2435454 
5929816,3823971 2991078 166429 3150033 1803682 
7417487,2289004 1178680 3309392 607816 3639759 
8591052,1275330 2133540 1467126 1865977 3027673 
5465206,3853188 1691152 71393 818165 1362380 
8304869,3642547 344000 2208614 3174627 1916878 
4122340,3755360 2985655 2864466 1512123 374507 
6447596,3080659 1890856 876083 3489358 792801 
10836215,2169254 159953 2909103 2784005 1547298 
3719936,162403 1111698 354186 2042763 2721563 
2065623,21156 1905977 1824320 1730105 901965 
8249664,3674993 1661301 2718331 948299 1234104 
11139177,3562654 3284528 160340 1963358 3216752 
5598423,842541 1596442 2804572 1394353 2663707 
10985259,1144906 616834 448632 3709740 2015649 
7610669,3731326 1224491 2322101 153324 309933 
3242168,99607 3659097 862213 3381745 2053925 
5448425,1088946 543992 715003 3456682 264211 
4926159,260103 2653967 3107123 2522563 2213826 
10134627,3776121 2576739 2830645 940567 1681669 
1760933,145626 2021807 2434487 3021665 3671801 
620237,2008442 229033 3340872 2817793 2834132 
10360102,2214856 3484347 1116218 3522793 1506597 
3291754,2384356 2320105 1411229 329535 2535178 
5624403,133074 3603787 1820641 1819063 1435225 
5396367,3735174 1406613 356786 2810325 1824880 
11341158,1929070 2121684 956158 3112888 170846 
5636293,2308039 2050597 3689789 2552638 2811665 
7778733,3690363 3580817 3431397 3766716 2959123 
10523578,3139338 2147931 1471072 2802243 591838 
7312005,688952 699662 1101382 1107792 623145 
11558637,1675977 222577 3550133 142509 3191542 
642791,2911786 1093529 2390926 1954811 416152 
3158922,3233893 1735234 1887516 2958806 513285 
7743903,814129 3754812 4603 812780 1972975 
5070166,1911261 1337300 495027 686683 3349944 
8025588,2354430 2788577 2788426 1422774 1795800 
8249259,2645541 2875760 2552741 722514 2642679 
10245367,2514218 2092146 2055426 2498854 82638 
6322299,2216046 2307171 1887389 2442570 1775656 
4685793,94140 3037685 557502 2710242 1895135 
8388312,2983701 2157188 1768854 2667503 3659093 
7829217,433660 3646256 1822081 1796561 89093 
229499,1643627 620027 622737 1228863 942056 
26099,3718744 1790404 3327082 3056917 683230 
8586043,1074308 211734 2377118 2509547 1999713 
8022816,1390807 2053752 1495681 3749947 929638 
4910846,3113074 951097 3003445 2370923 2856118 
4729704,98752 119227 3409810 3320729 1685106 
4857405,2890516 3493388 1082476 346504 2303250 
7541212,622737 1949491 3370628 2020625 2706744 
8510376,1580480 516218 1713531 2999747 700536 
7554711,2841547 1613653 3284202 1932878 382671 
3364360,3378906 171445 2789819 1254465 2226159 
7639982,1325088 1710680 1104222 2993273 891510 
8337913,1234265 305486 1647794 3202554 1061283 
3521600,438319 1811999 1397324 2673995 722971 
11274702,1264522 3221514 292574 1631479 2322709 
7648896,1741846 2764193 2022615 3771940 1136419 
8223391,147630 2110917 2101235 3441295 2713186 
8586552,1914410 2903804 3269911 892114 1689299 
5458596,3790451 3346298 2327566 3242547 3633876 
3093913,3080659 3320732 269164 3719307 1244278 
6642467,427217 2063659 397761 1201170 648117 
8792773,3094107 3502848 1764773 2239301 2586384 
5525665,809091 1249965 731766 1831668 389926 
8045268,3287413 2190582 2303250 3752712 268524 
6341714,2296142 816053 482369 2328212 170875 
3951166,3849013 3229010 106504 1904865 3207268 
10048843,2399755 813427 820620 3144248 3826915 
8480058,3603202 87336 1577185 3078145 1448070 
8494468,1351521 3115601 2838783 2405500 1421812 
8627369,3330056 126446 1587498 2082252 3057834 
6838505,3236391 1563214 284204 3126914 443369 
95221,412280 2499319 3459300 4917553 2915555 
3307832,2525669 2072963 2299852 2815177 1524453 
1330005,2248254 3834492 2130233 2779550 1545388 
4074017,108961 1068371 2938083 3480584 3870306 
4909873,543517 2882850 1262098 2214920 414701 
100965,1928198 1775481 1759034 1983391 469469 
3638136,2978448 2209409 917942 3090082 3872959 
302769,3626362 824164 1474539 330859 274470 
4318189,2895918 2842169 1308719 2079541 2421730 
5986784,402643 2780229 2895075 2041930 1681847 
4813887,1341741 1905863 3119280 256819 84086 
5257246,1645604 3677105 3221313 4741 542533 
8727207,2034833 2027005 2855583 3051780 3691781 
10293391,2815867 2783840 2148294 3875973 1090809 
6535385,1384826 1614113 2976640 803403 2628154 
5539635,3169746 2529926 1373314 283014 596576 
8267113,3787178 290925 1213272 1526516 368692 
17136,2023986 3138171 1616538 320204 555294 
6127544,1859605 3578067 1999676 1175163 2115636 
8542950,2657303 1533350 154829 2484707 112184 
7578244,1629275 3784448 2004587 3571309 2265736 
3092775,232824 311640 638436 1202101 3735789 
7445528,264211 1088946 3763363 715003 3456682 
10203268,3464076 2902714 2811665 2199955 2843452 
8407326,2628154 2478942 324189 2422901 890314 
6926802,3616754 2289746 1118441 2196900 1655062 
3210471,496476 2291469 1598427 2752844 2690901 
99608,2999747 1679328 246648 700536 1327233 
4654378,154235 1311435 2009513 184202 2557661 
6284697,3088558 1345084 2691685 1498584 853893 
7654797,1189517 881292 1606133 2615021 405885 
3175120,2629931 1856627 3078145 1784052 1448070 
1237120,2637275 1093848 1590424 1961223 2413161 
4992377,1419653 2296070 3357328 1673656 219947 
11567923,160347 2198042 2817822 1121860 337353 
2825522,2566586 1771434 2895152 3750393 2828074 
7047552,3218597 710597 2519396 2736165 3578026 
6322279,170840 641766 3367892 2225808 716318 
10701030,1430801 2021654 2882737 2065519 3778167 
3718052,918038 2920783 93827 3636918 1955136 
3010951,2062322 3454662 7217 2844707 1948070 
3298268,888491 956879 128150 2459856 2761077 
11511853,3140661 3592106 2684386 3168292 3089424 
11132162,1676220 1147871 2921525 3433990 1294040 
1316704,1569730 2278079 1139140 1569879 872920 
